"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"AK00","AK",1,"Alaska","Sharon Cissna","D",FALSE,"Sharon","Cissna","AK01_D_Cissna"
"AK00","AK",1,"Alaska","Don Young","R",TRUE,"Don","Young","AK01_R_Young"
"AL01","AL",1,"Alabama","Jo Bonner","R",TRUE,"Jo","Bonner","AL01_R_Bonner"
"AL02","AL",2,"Alabama","Terese Ford","D",FALSE,"Therese","Ford","AL02_D_Ford"
"AL02","AL",2,"Alabama","Martha Roby","R",TRUE,"Martha","Roby","AL02_R_Roby"
"AL03","AL",3,"Alabama","John Harris","D",FALSE,"John","Harris","AL03_D_Harris"
"AL03","AL",3,"Alabama","Mike Rogers","R",TRUE,"Mike","Rogers","AL03_R_Rogers"
"AL04","AL",4,"Alabama","Daniel Boman","D",FALSE,"Daniel","Boman","AL04_D_Boman"
"AL04","AL",4,"Alabama","Robert Aderholt","R",TRUE,"Robert","Aderholt","AL04_R_Aderholt"
"AL05","AL",5,"Alabama","Charlie Holley","D",FALSE,"Charlie","Holley","AL05_D_Holley"
"AL05","AL",5,"Alabama","Mo Brooks","R",TRUE,"Mo","Brooks","AL05_R_Brooks"
"AL06","AL",6,"Alabama","Penny Bailey","D",FALSE,"Penny","Bailey","AL06_D_Bailey"
"AL06","AL",6,"Alabama","Spencer Bachus","R",TRUE,"Spencer","Bachus","AL06_R_Bachus"
"AL07","AL",7,"Alabama","Terri Sewell","D",TRUE,"Terri","Sewell","AL07_D_Sewell"
"AL07","AL",7,"Alabama","Don Chamberlain","R",FALSE,"Don","Chamberlain","AL07_R_Chamberlain"
"AR01","AR",1,"Arkansas","Scott Ellington","D",FALSE,"Scott","Ellington","AR01_D_Ellington"
"AR01","AR",1,"Arkansas","Rick Crawford","R",TRUE,"Rick","Crawford","AR01_R_Crawford"
"AR02","AR",2,"Arkansas","Herb Rule","D",FALSE,"Herb","Rule","AR02_D_Rule"
"AR02","AR",2,"Arkansas","Tim Griffin","R",TRUE,"Tim","Griffin","AR02_R_Griffin"
"AR03","AR",3,"Arkansas","Ken Aden","D",FALSE,"Ken","Aden","AR03_D_Aden"
"AR03","AR",3,"Arkansas","Steve Womack","R",TRUE,"Steve","Womack","AR03_R_Womack"
"AR04","AR",4,"Arkansas","Gene Jeffress","D",FALSE,"Gene","Jeffress","AR04_D_Jeffress"
"AR04","AR",4,"Arkansas","Tom Cotton","R",FALSE,"Thomas","Cotton","AR04_R_Cotton"
"AZ01","AZ",1,"Arizona","Ann Kirkpatrick","D",FALSE,"Ann","Kirkpatrick","AZ01_D_Kirkpatrick"
"AZ01","AZ",1,"Arizona","Jonathan Paton","R",FALSE,"Jonathan","Paton","AZ01_R_Paton"
"AZ02","AZ",2,"Arizona","Ron Barber","D",TRUE,"Ron","Barber","AZ02_D_Barber"
"AZ02","AZ",2,"Arizona","Martha McSally","R",FALSE,"Martha","McSally","AZ02_R_McSally"
"AZ03","AZ",3,"Arizona","Raul Grijalva","D",TRUE,"Raul","Grijalva","AZ03_D_Grijalva"
"AZ03","AZ",3,"Arizona","Saucedo Mercer","R",FALSE,"Saucedo","Mercer","AZ03_R_Mercer"
"AZ04","AZ",4,"Arizona","Johnnie Robinson","D",FALSE,"Johnnie","Robinson","AZ04_D_Robinson"
"AZ04","AZ",4,"Arizona","Paul Gosar","R",TRUE,"Paul","Gosar","AZ04_R_Gosar"
"AZ05","AZ",5,"Arizona","Spencer Morgan","D",FALSE,"Spencer","Morgan","AZ05_D_Morgan"
"AZ05","AZ",5,"Arizona","Matt Salmon","R",FALSE,"Matt","Salmon","AZ05_R_Salmon"
"AZ06","AZ",6,"Arizona","Matt Jette","D",FALSE,"Matt","Jette","AZ06_D_Jette"
"AZ06","AZ",6,"Arizona","David Schweikert","R",TRUE,"David","Schweikert","AZ06_R_Schweikert"
"AZ07","AZ",7,"Arizona","Ed Pastor","D",TRUE,"Ed","Pastor","AZ07_D_Pastor"
"AZ08","AZ",8,"Arizona","Gene Scharer","D",FALSE,"Gene","Scharer","AZ08_D_Scharer"
"AZ08","AZ",8,"Arizona","Trent Franks","R",TRUE,"Trent","Franks","AZ08_R_Franks"
"AZ09","AZ",9,"Arizona","Kyrsten Sinema","D",FALSE,"Kyrsten","Sinema","AZ09_D_Sinema"
"AZ09","AZ",9,"Arizona","Vernon Parker","R",FALSE,"Vernon","Parker","AZ09_R_Parker"
"CA01","CA",1,"California","Jim Reed","D",FALSE,"Jim","Reed","CA01_D_Reed"
"CA01","CA",1,"California","Doug LaMalfa","R",FALSE,"Doug","LaMalfa","CA01_R_LaMalfa"
"CA02","CA",2,"California","Jared Huffman","D",FALSE,"Jared","Huffman","CA02_D_Huffman"
"CA02","CA",2,"California","Dan Roberts","R",FALSE,"Dan","Roberts","CA02_R_Roberts"
"CA03","CA",3,"California","John Garamendi","D",TRUE,"John","Garamendi","CA03_D_Garamendi"
"CA03","CA",3,"California","Kim Vann","R",FALSE,"Kim","Vann","CA03_R_Vann"
"CA04","CA",4,"California","Jack Uppal","D",FALSE,"Jack","Uppal","CA04_D_Uppal"
"CA04","CA",4,"California","Tom McClintock","R",TRUE,"Tom","McClintock","CA04_R_McClintock"
"CA05","CA",5,"California","Mike Thompson","D",TRUE,"Mike","Thompson","CA05_D_Thompson"
"CA05","CA",5,"California","Randy Loftin","R",FALSE,"Randy","Loftin","CA05_R_Loftin"
"CA06","CA",6,"California","Doris Matsui","D",TRUE,"Doris","Matsui","CA06_D_Matsui"
"CA06","CA",6,"California","Joseph McCray Sr.","R",FALSE,"Joseph","McCray","CA06_R_McCray"
"CA07","CA",7,"California","Ami Bera","D",FALSE,"Ami","Bera","CA07_D_Bera"
"CA07","CA",7,"California","Dan Lungren","R",TRUE,"Dan","Lungren","CA07_R_Lungren"
"CA08","CA",8,"California","Gregg Imus","R",FALSE,"Gregg","Imus","CA08_R_Imus"
"CA08","CA",8,"California","Jackie Conaway","D",FALSE,"Jackie","Conaway","CA08_D_Conaway"
"CA09","CA",9,"California","Jerry McNerney","D",TRUE,"Jerry","McNerney","CA09_D_McNerney"
"CA09","CA",9,"California","Ricky Gill","R",FALSE,"Ricky","Gill","CA09_R_Gill"
"CA10","CA",10,"California","Jose Hernandez","D",FALSE,"Jose","Hernandez","CA10_D_Hernandez"
"CA10","CA",10,"California","Jeff Denham","R",TRUE,"Jeff","Denham","CA10_R_Denham"
"CA11","CA",11,"California","George Miller","D",TRUE,"George","Miller","CA11_D_Miller"
"CA11","CA",11,"California","Virginia Fuller","R",FALSE,"Virginia","Fuller","CA11_R_Fuller"
"CA12","CA",12,"California","Nancy Pelosi","D",TRUE,"Nancy","Pelosi","CA12_D_Pelosi"
"CA12","CA",12,"California","John Dennis","R",FALSE,"John","Dennis","CA12_R_Dennis"
"CA13","CA",13,"California","Barbara Lee","D",TRUE,"Barbara","Lee","CA13_D_Lee"
"CA14","CA",14,"California","Jackie Speier","D",TRUE,"Jackie","Speier","CA14_D_Speier"
"CA14","CA",14,"California","Debbie Bacigalupi","R",FALSE,"Debbie","Bacigalupi","CA14_R_Bacigalupi"
"CA15","CA",15,"California","Pete Stark","D",TRUE,"Pete","Stark","CA15_D_Stark"
"CA15","CA",15,"California","Eric Swalwell","D",FALSE,"Eric","Swalwell","CA15_D_Swalwell"
"CA16","CA",16,"California","Jim Costa","D",TRUE,"Jim","Costa","CA16_D_Costa"
