"state_dist","state_id","district","office_id","state","primary_date","name","party","incumbent","first_name","last_name","unique_cand_id"
"AK01","AK",1,NA,"Alaska",NA,"Sharon Cissna","D","0","Sharon","Cissna","AK01_D_Cissna"
"AK01","AK",1,NA,"Alaska",NA,"Don Young","R","1","Don","Young","AK01_R_Young"
"AZ01","AZ",1,NA,"Arizona",NA,"Ann Kirkpatrick","D","0","Ann","Kirkpatrick","AZ01_D_Kirkpatrick"
"AZ01","AZ",1,NA,"Arizona",NA,"Jonathan Paton","R","0","Jonathan","Paton","AZ01_R_Paton"
"AZ02","AZ",2,NA,"Arizona",NA,"Ron Barber","D","1","Ron","Barber","AZ02_D_Barber"
"AZ02","AZ",2,NA,"Arizona",NA,"Martha McSally","R","0","Martha","McSally","AZ02_R_McSally"
"AZ03","AZ",3,NA,"Arizona",NA,"Raul Grijalva","D","1","Raul","Grijalva","AZ03_D_Grijalva"
"AZ03","AZ",3,NA,"Arizona",NA,"Saucedo Mercer","R","0","Saucedo","Mercer","AZ03_R_Mercer"
"AZ04","AZ",4,NA,"Arizona",NA,"Johnnie Robinson","D","0","Johnnie","Robinson","AZ04_D_Robinson"
"AZ04","AZ",4,NA,"Arizona",NA,"Paul Gosar","R","1","Paul","Gosar","AZ04_R_Gosar"
"AZ05","AZ",5,NA,"Arizona",NA,"Spencer Morgan","D","0","Spencer","Morgan","AZ05_D_Morgan"
"AZ05","AZ",5,NA,"Arizona",NA,"Matt Salmon","R","0","Matt","Salmon","AZ05_R_Salmon"
"AZ06","AZ",6,NA,"Arizona",NA,"Matt Jette","D","0","Matt","Jette","AZ06_D_Jette"
"AZ06","AZ",6,NA,"Arizona",NA,"David Schweikert","R","1","David","Schweikert","AZ06_R_Schweikert"
"AZ07","AZ",7,NA,"Arizona",NA,"Ed Pastor","D","1","Ed","Pastor","AZ07_D_Pastor"
"AZ08","AZ",8,NA,"Arizona",NA,"Gene Scharer","D","0","Gene","Scharer","AZ08_D_Scharer"
"AZ08","AZ",8,NA,"Arizona",NA,"Trent Franks","R","1","Trent","Franks","AZ08_R_Franks"
"AZ09","AZ",9,NA,"Arizona",NA,"Kyrsten Sinema","D","0","Kyrsten","Sinema","AZ09_D_Sinema"
"AZ09","AZ",9,NA,"Arizona",NA,"Vernon Parker","R","0","Vernon","Parker","AZ09_R_Parker"
"CA08","CA",8,39,"California",NA,"Gregg Imus","R","False","Gregg","Imus","CA08_R_Imus"
"CA08","CA",8,NA,"California",NA,"Jackie Conaway","D","0","Jackie","Conaway","CA08_D_Conaway"
"CA29","CA",29,59,"California",NA,"Tony Cardenas","D","False","Tony","Cardenas","CA29_D_Cardenas"
"CA29","CA",29,NA,"California",NA,"David Hernandez","R","0","David","Hernandez","CA29_R_Hernandez"
"CO05","CO",5,92,"Colorado",NA,"Doug Lamborn","R","True","Doug","Lamborn","CO05_R_Lamborn"
"CO05","CO",5,NA,"Colorado",NA,"Bob Evans","D","0","Bob","Evans","CO05_D_Evans"
"CT01","CT",1,NA,"Connecticut",NA,"John Larson","D","1","John","Larson","CT01_D_Larson"
"CT01","CT",1,NA,"Connecticut",NA,"John Decker","R","0","John","Decker","CT01_R_Decker"
"CT02","CT",2,NA,"Connecticut",NA,"Joe Courtney","D","1","Joe","Courtney","CT02_D_Courtney"
"CT02","CT",2,NA,"Connecticut",NA,"Paul Formica","R","0","Paul","Formica","CT02_R_Formica"
"CT03","CT",3,NA,"Connecticut",NA,"Rosa DeLauro","D","1","Rosa","DeLauro","CT03_D_DeLauro"
"CT03","CT",3,NA,"Connecticut",NA,"Wayne Winsley","R","0","Wayne","Winsley","CT03_R_Winsley"
"CT04","CT",4,NA,"Connecticut",NA,"Jim Himes","D","1","Jim","Himes","CT04_D_Himes"
"CT04","CT",4,NA,"Connecticut",NA,"Steve Obsitnik","R","0","Steve","Obsitnik","CT04_R_Obsitnik"
"CT05","CT",5,NA,"Connecticut",NA,"Elizabeth Esty","D","0","Elizabeth","Esty","CT05_D_Esty"
"CT05","CT",5,NA,"Connecticut",NA,"Andrew Roraback","R","0","Andrew","Roraback","CT05_R_Roraback"
"DE01","DE",1,NA,"Delaware",NA,"John Carney","D","1","John","Carney","DE01_D_Carney"
"DE01","DE",1,NA,"Delaware",NA,"Tom Kovach","R","0","Tom","Kovach","DE01_R_Kovach"
"FL01","FL",1,NA,"Florida",NA,"Jim Bryan","D","0","Jim","Bryan","FL01_D_Bryan"
"FL01","FL",1,NA,"Florida",NA,"Jeff Miller","R","1","Jeff","Miller","FL01_R_Miller"
"FL02","FL",2,NA,"Florida",NA,"Alfred Lawson","D","0","Alfred","Lawson","FL02_D_Lawson"
"FL02","FL",2,NA,"Florida",NA,"Steve Southerland","R","1","Steve","Southerland","FL02_R_Southerland"
"FL03","FL",3,NA,"Florida",NA,"Jacques Gaillot","D","0","Jacques","Gaillot","FL03_D_Gaillot"
"FL03","FL",3,NA,"Florida",NA,"Ted Yoho","R","0","Ted","Yoho","FL03_R_Yoho"
"FL04","FL",4,NA,"Florida",NA,"Ander Crenshaw","R","1","Ander","Crenshaw","FL04_R_Crenshaw"
"FL05","FL",5,NA,"Florida",NA,"Corrine Brown","D","1","Corrine","Brown","FL05_D_Brown"
"FL05","FL",5,NA,"Florida",NA,"LeAnne Kolb","R","0","LeAnne","Kolb","FL05_R_Kolb"
"FL06","FL",6,NA,"Florida",NA,"Heather Beaven","D","0","Heather","Beaven","FL06_D_Beaven"
"FL06","FL",6,NA,"Florida",NA,"Ron DeSantis","R","0","Ron","DeSantis","FL06_R_DeSantis"
"FL07","FL",7,NA,"Florida",NA,"Jason Kendall","D","0","Jason","Kendall","FL07_D_Kendall"
"FL07","FL",7,NA,"Florida",NA,"John Mica","R","1","John","Mica","FL07_R_Mica"
"FL08","FL",8,NA,"Florida",NA,"Shannon Roberts","D","0","Shannon","Roberts","FL08_D_Roberts"
"FL08","FL",8,NA,"Florida",NA,"Bill Posey","R","1","Bill","Posey","FL08_R_Posey"
"FL09","FL",9,NA,"Florida",NA,"Alan Grayson","D","0","Alan","Grayson","FL09_D_Grayson"
"FL09","FL",9,NA,"Florida",NA,"Todd Long","R","0","Todd","Long","FL09_R_Long"
"FL10","FL",10,NA,"Florida",NA,"Val Deming","D","0","Val","Deming","FL10_D_Deming"
"FL10","FL",10,NA,"Florida",NA,"Daniel Webster","R","1","Daniel","Webster","FL10_R_Webster"
"FL11","FL",11,NA,"Florida",NA,"David Werder","D","0","David","Werder","FL11_D_Werder"
"FL11","FL",11,NA,"Florida",NA,"Richard Nugent","R","1","Richard","Nugent","FL11_R_Nugent"
"FL12","FL",12,NA,"Florida",NA,"Jonathan Snow","D","0","Jonathan","Snow","FL12_D_Snow"
"FL12","FL",12,NA,"Florida",NA,"Gus Bilirakis","R","1","Gus","Bilirakis","FL12_R_Bilirakis"
"FL13","FL",13,NA,"Florida",NA,"Jessica Ehrlich","D","0","Jessica","Ehrlich","FL13_D_Ehrlich"
"FL13","FL",13,NA,"Florida",NA,"Bill Young","R","1","Bill","Young","FL13_R_Young"
"FL14","FL",14,NA,"Florida",NA,"Kathy Castor","D","1","Kathy","Castor","FL14_D_Castor"
"FL14","FL",14,NA,"Florida",NA,"Evelio Otero","R","0","Evelio","Otero","FL14_R_Otero"
"FL15","FL",15,NA,"Florida",NA,"Dennis Ross","R","1","Dennis","Ross","FL15_R_Ross"
"FL16","FL",16,NA,"Florida",NA,"Keith Fitzgerald","D","0","Keith","Fitzgerald","FL16_D_Fitzgerald"
"FL16","FL",16,NA,"Florida",NA,"Vernon Buchanan","R","1","Vernon","Buchanan","FL16_R_Buchanan"
"FL17","FL",17,NA,"Florida",NA,"William Bronson","D","0","William","Bronson","FL17_D_Bronson"
"FL17","FL",17,NA,"Florida",NA,"Tom Rooney","R","1","Tom","Rooney","FL17_R_Rooney"
"FL18","FL",18,NA,"Florida",NA,"Patrick Murphy","D","0","Patrick","Murphy","FL18_D_Murphy"
"FL18","FL",18,NA,"Florida",NA,"Allen West","R","1","Allen","West","FL18_R_West"
"FL19","FL",19,NA,"Florida",NA,"Jim Roach","D","0","Jim","Roach","FL19_D_Roach"
"FL19","FL",19,NA,"Florida",NA,"Trey Radel","R","0","Trey","Radel","FL19_R_Radel"
"FL20","FL",20,NA,"Florida",NA,"Alcee Hastings","D","1","Alcee","Hastings","FL20_D_Hastings"
"FL20","FL",20,NA,"Florida",NA,"Joe Goldner","R","0","Joe","Goldner","FL20_R_Goldner"
"FL21","FL",21,NA,"Florida",NA,"Ted Deutch","D","1","Ted","Deutch","FL21_D_Deutch"
"FL22","FL",22,NA,"Florida",NA,"Lois Frankel","D","0","Lois","Frankel","FL22_D_Frankel"
"FL22","FL",22,NA,"Florida",NA,"Adam Hasner","R","0","Adam","Hasner","FL22_R_Hasner"
"FL23","FL",23,NA,"Florida",NA,"Debbie Schultz","D","1","Debbie","Schultz","FL23_D_Schultz"
"FL23","FL",23,NA,"Florida",NA,"Karen Harrington","R","0","Karen","Harrington","FL23_R_Harrington"
"FL24","FL",24,NA,"Florida",NA,"Frederica Wilson","D","1","Frederica","Wilson","FL24_D_Wilson"
"FL25","FL",25,NA,"Florida",NA,"Mario Diaz-Balart","R","1","Mario","Diaz-Balart","FL25_R_Diaz-Balart"
"FL26","FL",26,NA,"Florida",NA,"Joe Garcia","D","0","Joe","Garcia","FL26_D_Garcia"
"FL26","FL",26,NA,"Florida",NA,"David Rivera","R","1","David","Rivera","FL26_R_Rivera"
"FL27","FL",27,NA,"Florida",NA,"Manny Yevancey","D","0","Manny","Yevancey","FL27_D_Yevancey"
"FL27","FL",27,NA,"Florida",NA,"Ileana Ros","R","1","Ileana","Ros","FL27_R_Ros"
"GA01","GA",1,NA,"Georgia",NA,"Lesli Messinger","D","0","Lesli","Messinger","GA01_D_Messinger"
"GA01","GA",1,NA,"Georgia",NA,"Jack Kingston","R","1","Jack","Kingston","GA01_R_Kingston"
"GA02","GA",2,NA,"Georgia",NA,"Sanford Bishop","D","1","Sanford","Bishop","GA02_D_Bishop"
"GA02","GA",2,NA,"Georgia",NA,"John Allen","R","0","John","Allen","GA02_R_Allen"
"GA03","GA",3,NA,"Georgia",NA,"Lynn Westmoreland","R","1","Lynn","Westmoreland","GA03_R_Westmoreland"
"GA04","GA",4,NA,"Georgia",NA,"Hank Johnson","D","1","Hank","Johnson","GA04_D_Johnson"
"GA04","GA",4,NA,"Georgia",NA,"Chris Vaughn","R","0","Chris","Vaughn","GA04_R_Vaughn"
"GA05","GA",5,NA,"Georgia",NA,"John Lewis","D","1","John","Lewis","GA05_D_Lewis"
"GA05","GA",5,NA,"Georgia",NA,"Howard Stopeck","R","0","Howard","Stopeck","GA05_R_Stopeck"
"GA06","GA",6,NA,"Georgia",NA,"Jeff Kazanow","D","0","Jeff","Kazanow","GA06_D_Kazanow"
"GA06","GA",6,NA,"Georgia",NA,"Tom Price","R","1","Tom","Price","GA06_R_Price"
"GA07","GA",7,NA,"Georgia",NA,"Steve Reilly","D","0","Steve","Reilly","GA07_D_Reilly"
"GA07","GA",7,NA,"Georgia",NA,"Rob Woodall","R","1","Rob","Woodall","GA07_R_Woodall"
"GA08","GA",8,NA,"Georgia",NA,"Austin Scott","R","1","Austin","Scott","GA08_R_Scott"
"GA09","GA",9,NA,"Georgia",NA,"Jody Cooley","D","0","Jody","Cooley","GA09_D_Cooley"
"GA09","GA",9,NA,"Georgia",NA,"Doug Collins","R","0","Doug","Collins","GA09_R_Collins"
"GA10","GA",10,NA,"Georgia",NA,"Paul Broun","R","1","Paul","Broun","GA10_R_Broun"
"GA11","GA",11,NA,"Georgia",NA,"Patrick Thompson","D","0","Patrick","Thompson","GA11_D_Thompson"
"GA11","GA",11,NA,"Georgia",NA,"Phil Gingrey","R","1","Phil","Gingrey","GA11_R_Gingrey"
"GA12","GA",12,NA,"Georgia",NA,"John Barrow","D","1","John","Barrow","GA12_D_Barrow"
"GA12","GA",12,NA,"Georgia",NA,"Lee Anderson","R","0","Lee","Anderson","GA12_R_Anderson"
"GA13","GA",13,NA,"Georgia",NA,"David Scott","D","1","David","Scott","GA13_D_Scott"
"GA13","GA",13,NA,"Georgia",NA,"Shahid Malik","R","0","Shahid","Malik","GA13_R_Malik"
"GA14","GA",14,NA,"Georgia",NA,"Dan Grant","D","0","Dan","Grant","GA14_D_Grant"
"GA14","GA",14,NA,"Georgia",NA,"Tom Graves","R","1","Tom","Graves","GA14_R_Graves"
"HI01","HI",1,NA,"Hawaii",NA,"Colleen Hanabusa","D","1","Colleen","Hanabusa","HI01_D_Hanabusa"
"HI01","HI",1,NA,"Hawaii",NA,"Charles Djou","R","0","Charles","Djou","HI01_R_Djou"
"HI02","HI",2,NA,"Hawaii",NA,"Tulsi Gabbard","D","0","Tulsi","Gabbard","HI02_D_Gabbard"
"HI02","HI",2,NA,"Hawaii",NA,"Kawika Crowley","R","0","Kawika","Crowley","HI02_R_Crowley"
"IL04","IL",4,177,"Illinois",NA,"Luis Gutierrez","D","True","Luis","Gutierrez","IL04_D_Gutierrez"
"IL04","IL",4,NA,"Illinois",NA,"Hector Concepcion","R","0","Hector","Concepcion","IL04_R_Concepcion"
"IL16","IL",16,NA,"Illinois",NA,"Wanda Rohl","D","0","Wanda","Rohl","IL16_D_Rohl"
"IL16","IL",16,189,"Illinois",NA,"Adam Kinzinger","R","True","Adam","Kinzinger","IL16_R_Kinzinger"
"KS01","KS",1,NA,"Kansas",NA,"Tim Huelskamp","R","1","Tim","Huelskamp","KS01_R_Huelskamp"
"KS02","KS",2,NA,"Kansas",NA,"Tobias Schlingensiepen","D","0","Tobias","Schlingensiepen","KS02_D_Schlingensiepen"
"KS02","KS",2,NA,"Kansas",NA,"Lynn Jenkins","R","1","Lynn","Jenkins","KS02_R_Jenkins"
"KS03","KS",3,NA,"Kansas",NA,"Kevin Yoder","R","1","Kevin","Yoder","KS03_R_Yoder"
"KS04","KS",4,NA,"Kansas",NA,"Robert Tillman","D","0","Robert","Tillman","KS04_D_Tillman"
"KS04","KS",4,NA,"Kansas",NA,"Mike Pompeo","R","1","Mike","Pompeo","KS04_R_Pompeo"
"LA01","LA",1,NA,"Louisiana",NA,"Steve Scalise","R","1","Steve","Scalise","LA01_R_Scalise"
"LA02","LA",2,NA,"Louisiana",NA,"Cedric Richmond","D","1","Cedric","Richmond","LA02_D_Richmond"
"LA02","LA",2,NA,"Louisiana",NA,"Gail Dignam","R","0","Gail","Dignam","LA02_R_Dignam"
"LA03","LA",3,NA,"Louisiana",NA,"Charles Boustany","R","1","Charles","Boustany","LA03_R_Boustany"
"LA03","LA",3,NA,"Louisiana",NA,"Jeff Landry","R","1","Jeff","Landry","LA03_R_Landry"
"LA04","LA",4,NA,"Louisiana",NA,"John Fleming","R","1","John","Fleming","LA04_R_Fleming"
"LA05","LA",5,NA,"Louisiana",NA,"Rodney Alexander","R","1","Rodney","Alexander","LA05_R_Alexander"
"LA06","LA",6,NA,"Louisiana",NA,"Bill Cassidy","R","1","Bill","Cassidy","LA06_R_Cassidy"
"MA01","MA",1,NA,"Massachusetts",NA,"Richard Neal","D","1","Richard","Neal","MA01_D_Neal"
"MA02","MA",2,NA,"Massachusetts",NA,"James McGovern","D","1","James","McGovern","MA02_D_McGovern"
"MA03","MA",3,NA,"Massachusetts",NA,"Niki Tsongas","D","1","Niki","Tsongas","MA03_D_Tsongas"
"MA04","MA",4,NA,"Massachusetts",NA,"Joe Kennedy","D","0","Joe","Kennedy","MA04_D_Kennedy"
"MA04","MA",4,NA,"Massachusetts",NA,"Sean Bielat","R","0","Sean","Bielat","MA04_R_Bielat"
"MA05","MA",5,NA,"Massachusetts",NA,"Ed Markey","D","1","Ed","Markey","MA05_D_Markey"
"MA05","MA",5,NA,"Massachusetts",NA,"Tom Tierney","R","0","Tom","Tierney","MA05_R_Tierney"
"MA06","MA",6,NA,"Massachusetts",NA,"John Tierney","D","1","John","Tierney","MA06_D_Tierney"
"MA06","MA",6,NA,"Massachusetts",NA,"Richard Tisei","R","0","Richard","Tisei","MA06_R_Tisei"
"MA07","MA",7,NA,"Massachusetts",NA,"Mike Capuano","D","1","Mike","Capuano","MA07_D_Capuano"
"MA08","MA",8,NA,"Massachusetts",NA,"Stephen Lynch","D","1","Stephen","Lynch","MA08_D_Lynch"
"MA08","MA",8,NA,"Massachusetts",NA,"Joe Selvaggi","R","0","Joe","Selvaggi","MA08_R_Selvaggi"
"MA09","MA",9,NA,"Massachusetts",NA,"Bill Keating","D","1","Bill","Keating","MA09_D_Keating"
"MA09","MA",9,NA,"Massachusetts",NA,"Adam Chaprales","R","0","Adam","Chaprales","MA09_R_Chaprales"
"MI01","MI",1,NA,"Michigan",NA,"Gary McDowell","D","0","Gary","McDowell","MI01_D_McDowell"
"MI01","MI",1,NA,"Michigan",NA,"Dan Benishek","R","1","Dan","Benishek","MI01_R_Benishek"
"MI02","MI",2,NA,"Michigan",NA,"Bill Huizenga","R","1","Bill","Huizenga","MI02_R_Huizenga"
"MI03","MI",3,NA,"Michigan",NA,"Steve Pestka","D","0","Steve","Pestka","MI03_D_Pestka"
"MI03","MI",3,NA,"Michigan",NA,"Justin Amash","R","1","Justin","Amash","MI03_R_Amash"
"MI04","MI",4,NA,"Michigan",NA,"Dave Camp","R","1","Dave","Camp","MI04_R_Camp"
"MI05","MI",5,NA,"Michigan",NA,"Dan Kildee","D","0","Dan","Kildee","MI05_D_Kildee"
"MI05","MI",5,NA,"Michigan",NA,"Jim Slezak","R","0","Jim","Slezak","MI05_R_Slezak"
"MI06","MI",6,NA,"Michigan",NA,"Mike O'Brien","D","0","Mike","O'Brien","MI06_D_O'Brien"
"MI06","MI",6,NA,"Michigan",NA,"Fred Upton","R","1","Fred","Upton","MI06_R_Upton"
"MI07","MI",7,NA,"Michigan",NA,"Kurt Haskell","D","0","Kurt","Haskell","MI07_D_Haskell"
"MI07","MI",7,NA,"Michigan",NA,"Tim Walberg","R","1","Tim","Walberg","MI07_R_Walberg"
"MI08","MI",8,NA,"Michigan",NA,"Lance Enderle","D","0","Lance","Enderle","MI08_D_Enderle"
"MI08","MI",8,NA,"Michigan",NA,"Mike Rogers","R","1","Mike","Rogers","MI08_R_Rogers"
"MI09","MI",9,NA,"Michigan",NA,"Sander Levin","D","1","Sander","Levin","MI09_D_Levin"
"MI09","MI",9,NA,"Michigan",NA,"Donald Volaric","R","0","Donald","Volaric","MI09_R_Volaric"
"MI10","MI",10,NA,"Michigan",NA,"Chuck Stadler","D","0","Chuck","Stadler","MI10_D_Stadler"
"MI10","MI",10,NA,"Michigan",NA,"Candice Miller","R","1","Candice","Miller","MI10_R_Miller"
"MI11","MI",11,NA,"Michigan",NA,"Syed Taj","D","0","Syed","Taj","MI11_D_Taj"
"MI11","MI",11,NA,"Michigan",NA,"Kerry Bentivolio","R","0","Kerry","Bentivolio","MI11_R_Bentivolio"
"MI12","MI",12,NA,"Michigan",NA,"John Dingell","D","1","John","Dingell","MI12_D_Dingell"
"MI12","MI",12,NA,"Michigan",NA,"Cynthia Kallgren","R","0","Cynthia","Kallgren","MI12_R_Kallgren"
"MI13","MI",13,NA,"Michigan",NA,"John Conyers","D","1","John","Conyers","MI13_D_Conyers"
"MI13","MI",13,NA,"Michigan",NA,"Harry Sawicki","R","0","Harry","Sawicki","MI13_R_Sawicki"
"MI14","MI",14,NA,"Michigan",NA,"Gary Peters","D","1","Gary","Peters","MI14_D_Peters"
"MI14","MI",14,NA,"Michigan",NA,"John Hauler","R","0","John","Hauler","MI14_R_Hauler"
"MN01","MN",1,NA,"Minnesota",NA,"Tim Walz","D","1","Tim","Walz","MN01_D_Walz"
"MN01","MN",1,NA,"Minnesota",NA,"Allen Quist","R","0","Allen","Quist","MN01_R_Quist"
"MN02","MN",2,NA,"Minnesota",NA,"Mike Obermueller","D","0","Mike","Obermueller","MN02_D_Obermueller"
"MN02","MN",2,NA,"Minnesota",NA,"John Kline","R","1","John","Kline","MN02_R_Kline"
"MN03","MN",3,NA,"Minnesota",NA,"Brian Barnes","D","0","Brian","Barnes","MN03_D_Barnes"
"MN03","MN",3,NA,"Minnesota",NA,"Erik Paulsen","R","1","Erik","Paulsen","MN03_R_Paulsen"
"MN04","MN",4,NA,"Minnesota",NA,"Betty McCollum","D","1","Betty","McCollum","MN04_D_McCollum"
