"state_dist","state_id","district","D_name","D_first_name","D_last_name","R_name","R_first_name","R_last_name","incumbent_party"
"AK01","AK",1,"Sharon Cissna","Sharon","Cissna","Don Young","Don","Young","R"
"AL02","AL",2,"Terese Ford","Therese","Ford","Martha Roby","Martha","Roby","R"
"AL03","AL",3,"John Harris","John","Harris","Mike Rogers","Mike","Rogers","R"
"AL04","AL",4,"Daniel Boman","Daniel","Boman","Robert Aderholt","Robert","Aderholt","R"
"AL05","AL",5,"Charlie Holley","Charlie","Holley","Mo Brooks","Mo","Brooks","R"
"AL06","AL",6,"Penny Bailey","Penny","Bailey","Spencer Bachus","Spencer","Bachus","R"
"AL07","AL",7,"Terri Sewell","Terri","Sewell","Don Chamberlain","Don","Chamberlain","D"
"AR01","AR",1,"Scott Ellington","Scott","Ellington","Rick Crawford","Rick","Crawford","R"
"AR02","AR",2,"Herb Rule","Herb","Rule","Tim Griffin","Tim","Griffin","R"
"AR03","AR",3,"Ken Aden","Ken","Aden","Steve Womack","Steve","Womack","R"
"AR04","AR",4,"Gene Jeffress","Gene","Jeffress","Tom Cotton","Thomas","Cotton","O"
"AZ01","AZ",1,"Ann Kirkpatrick","Ann","Kirkpatrick","Jonathan Paton","Jonathan","Paton","O"
"AZ02","AZ",2,"Ron Barber","Ron","Barber","Martha McSally","Martha","McSally","D"
"AZ03","AZ",3,"Raul Grijalva","Raul","Grijalva","Saucedo Mercer","Saucedo","Mercer","D"
"AZ04","AZ",4,"Johnnie Robinson","Johnnie","Robinson","Paul Gosar","Paul","Gosar","R"
"AZ05","AZ",5,"Spencer Morgan","Spencer","Morgan","Matt Salmon","Matt","Salmon","O"
"AZ06","AZ",6,"Matt Jette","Matt","Jette","David Schweikert","David","Schweikert","R"
"AZ08","AZ",8,"Gene Scharer","Gene","Scharer","Trent Franks","Trent","Franks","R"
"AZ09","AZ",9,"Kyrsten Sinema","Kyrsten","Sinema","Vernon Parker","Vernon","Parker","O"
"CA01","CA",1,"Jim Reed","Jim","Reed","Doug LaMalfa","Doug","LaMalfa","O"
"CA02","CA",2,"Jared Huffman","Jared","Huffman","Dan Roberts","Dan","Roberts","O"
"CA03","CA",3,"John Garamendi","John","Garamendi","Kim Vann","Kim","Vann","D"
"CA04","CA",4,"Jack Uppal","Jack","Uppal","Tom McClintock","Tom","McClintock","R"
"CA05","CA",5,"Mike Thompson","Mike","Thompson","Randy Loftin","Randy","Loftin","D"
"CA06","CA",6,"Doris Matsui","Doris","Matsui","Joseph McCray Sr.","Joseph","McCray","D"
"CA07","CA",7,"Ami Bera","Ami","Bera","Dan Lungren","Dan","Lungren","R"
"CA08","CA",8,"Jackie Conaway","Jackie","Conaway","Gregg Imus","Gregg","Imus","O"
"CA09","CA",9,"Jerry McNerney","Jerry","McNerney","Ricky Gill","Ricky","Gill","D"
"CA10","CA",10,"Jose Hernandez","Jose","Hernandez","Jeff Denham","Jeff","Denham","R"
"CA11","CA",11,"George Miller","George","Miller","Virginia Fuller","Virginia","Fuller","D"
"CA12","CA",12,"Nancy Pelosi","Nancy","Pelosi","John Dennis","John","Dennis","D"
"CA14","CA",14,"Jackie Speier","Jackie","Speier","Debbie Bacigalupi","Debbie","Bacigalupi","D"
"CA16","CA",16,"Jim Costa","Jim","Costa","Brian Whelan","Brian","Whelan","D"
"CA17","CA",17,"Mike Honda","Mike","Honda","Evelyn Li","Evelyn","Li","D"
"CA18","CA",18,"Anna Eshoo","Anna","Eshoo","Dave Chapman","Dave","Chapman","D"
"CA19","CA",19,"Zoe Lofgren","Zoe","Lofgren","Robert Murray","Robert","Murray","D"
"CA20","CA",20,"Sam Farr","Sam","Farr","Jeff Taylor","Jeff","Taylor","D"
"CA21","CA",21,"John Hernandez","John","Hernandez","David Valadao","David","Valadao","O"
"CA22","CA",22,"Otto Lee","Otto","Lee","Devin Nunes","Devin","Nunes","R"
"CA24","CA",24,"Lois Capps","Lois","Capps","Abel Maldonado","Abel","Maldonado","D"
"CA25","CA",25,"Lee Rogers","Lee","Rogers","Buck McKeon","Buck","Mckeon","R"
"CA26","CA",26,"Julia Brownley","Julia","Brownley","Tony Strickland","Tony","Strickland","O"
"CA27","CA",27,"Judy Chu","Judy","Chu","Jack Orswell","Jack","Orswell","D"
"CA28","CA",28,"Adam Schiff","Adam","Schiff","Phil Jennerjahn","Phil","Jennerjahn","D"
"CA29","CA",29,"Tony Cardenas","Tony","Cardenas","David Hernandez","David","Hernandez","O"
"CA32","CA",32,"Grace Napolitano","Grace","Napolitano","David Miller","David","Miller","D"
"CA34","CA",34,"Xavier Becerra","Xavier","Becerra","Stephen Smith","Stephen","Smith","D"
"CA36","CA",36,"Raul Ruiz","Raul","Ruiz","Mary Bono Mack","Bono","Mack","R"
"CA38","CA",38,"Linda Sanchez","Linda","Sanchez","Benjamin Campos","Benjamin","Campos","D"
"CA39","CA",39,"Jay Chen","Jay","Chen","Ed Royce","Ed","Royce","R"
"CA41","CA",41,"Mark Takano","Mark","Takano","John Tavaglione","John","Tavaglione","O"
"CA42","CA",42,"Michael Williamson","Michael","Williamson","Ken Calvert","Ken","Calvert","R"
"CA45","CA",45,"Sukhee Kang","Sukhee","Kang","John Campbell","John","Campbell","R"
"CA46","CA",46,"Loretta Sanchez","Loretta","Sanchez","Jerry Hayden","Jerry","Hayden","D"
"CA47","CA",47,"Alan Lowenthal","Alan","Lowenthal","Gary Delong","Gary","Delong","O"
"CA48","CA",48,"Ron Varasteh","Ron","Varasteh","Dana Rohrabacher","Dana","Rohrabacher","R"
"CA49","CA",49,"Jerry Tetalman","Jerry","Tetalman","Darrell Issa","Darrell","Issa","R"
"CA50","CA",50,"David Secor","David","Secor","Duncan D. Hunter","Duncan","Hunter","R"
"CA51","CA",51,"Juan Vargas","Juan","Vargas","Michael Crimmins","Michael","Crimmins","O"
"CA52","CA",52,"Scott Peters","Scott","Peters","Brian Bilbray","Brian","Bilbray","R"
"CA53","CA",53,"Susan Davis","Susan","Davis","Nick Popaditch","Nick","Popaditch","D"
"CO01","CO",1,"Diana DeGette","Diana","DeGette","Danny Stroud","Danny","Stroud","D"
